"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"1729","SL",0,0,NA,80.6,1.28,0.28
"1730","FC",0,0,NA,88.2,0.21,0.39
"1731","CU",0,1,0.049,80.4,0.17,-1.36
"1732","KC",1,1,NA,77.6,0.61,-1.22
"1733","SL",0,0,NA,83.2,1.16,0.03
"1734","SL",0,0,NA,85,0.29,0.12
"1735","KC",0,1,NA,82,0.28,-0.42
"1736","SL",0,1,0.004,80.6,1.11,0.15
"1737","CU",0,0,NA,77.6,0.47,-0.47
"1738","FC",0,1,0.01,93,-0.17,0.78
"1739","CU",0,1,0.072,78.6,0.3,-1.43
"1740","SL",0,0,NA,85.3,0.11,0.18
"1741","FC",1,1,NA,92.8,0.18,0.51
"1742","SL",0,0,NA,83.4,-0.12,0.49
"1743","SL",0,0,NA,86.6,0.21,0.36
"1744","FC",0,1,0.021,88.3,-0.08,1
"1745","FC",1,1,NA,86,0.81,0.54
"1746","SL",1,1,NA,85.3,0.1,0.18
"1747","SL",1,1,NA,85.2,0.49,-0.22
"1748","FC",0,1,0.029,89.6,-0.05,1.25
"1749","SL",0,0,NA,84.4,0.39,0.59
"1750","SL",0,1,NA,87.8,0.08,0.27
"1751","FC",0,0,NA,88.1,0.24,0.21
"1752","SL",0,0,NA,77.3,1.2,0.23
"1753","SL",1,1,NA,82.6,1.15,0.06
"1754","KC",0,1,NA,81.5,0.47,-0.73
"1755","CU",0,0,NA,80.5,0.22,-1.16
"1756","FC",0,0,NA,87,0.75,0.67
"1757","SL",0,1,0.189,85.3,0.65,0.42
"1758","CU",0,1,0.748,82.4,0.79,-0.89
"1759","CU",0,0,NA,80.8,0.7,-0.92
"1760","KC",0,0,NA,77.9,1.07,-0.75
"1761","SL",0,1,NA,85.1,-0.1,0.17
"1762","CU",1,1,NA,81.7,0.78,-1.09
"1763","SL",0,0,NA,87.4,0.2,0.57
"1764","CU",1,1,NA,77.8,0.57,-0.83
"1765","SL",0,1,NA,78.1,1.29,0.16
"1766","FC",0,0,NA,86.4,0.7,0.69
"1767","SL",0,1,0.929,85.3,0.21,0.33
"1768","CU",0,0,NA,80.5,1,-1.01
"1769","SL",0,0,NA,84.3,1.19,-0.07
"1770","SL",1,1,NA,86.3,0.62,0.27
"1771","SL",0,0,NA,86.9,0.13,0.6
"1772","SL",0,0,NA,86.5,0.08,0.08
"1773","SL",0,0,NA,78.9,1.32,0.24
"1774","KC",1,1,NA,81.8,0.18,-0.47
"1775","SL",0,1,NA,85.1,0.69,0.08
"1776","KC",0,0,NA,81.9,-0.09,0.12
"1777","SL",0,0,NA,86.7,0.02,0.53
"1778","CU",0,0,NA,81,1.04,-0.2
"1779","SL",0,0,NA,82.6,0.92,-0.37
"1780","SL",1,1,NA,88,0.2,0.17
"1781","SL",0,1,0.764,85.7,0.21,0.66
"1782","FC",0,0,NA,88.5,-0.15,1.33
"1783","SL",1,1,NA,85.1,-0.07,0.28
"1784","SL",0,1,NA,86.9,0.47,0.21
"1785","SL",0,0,NA,83.2,1.11,-0.25
"1786","FC",0,1,0.113,87.2,0.06,1.13
"1787","FC",0,0,NA,87.9,0.34,0.77
"1788","SL",0,0,NA,86.7,0.26,0.72
"1789","CU",0,0,NA,78.9,0.49,-0.64
"1790","KC",0,0,NA,83.6,-0.05,0.27
"1791","CU",0,0,NA,82.8,0.97,-1.06
"1792","SL",0,1,NA,80.1,1.08,0.5
"1793","SL",0,0,NA,87.1,0.22,-0.34
"1794","SL",0,1,0.377,80.1,1.17,0.54
"1795","CU",0,1,0.29,83.3,1.5,-0.95
"1796","SL",0,1,0.1,83.9,-0.12,0.31
"1797","SL",0,0,NA,88,-0.05,0.16
"1798","FC",0,0,NA,86.4,0.23,0.09
"1799","CU",0,1,0.473,81.1,0.64,-0.48
"1800","KC",1,1,NA,77.5,0.9,-1.13
"1801","FC",0,1,NA,84.9,0.77,0.28
"1802","FC",0,1,NA,90.4,0.18,0.88
"1803","CU",0,0,NA,83.7,1.35,-0.89
"1804","FC",0,1,NA,90.2,0.18,0.47
"1805","SL",0,1,0.175,86.8,-0.05,0.63
"1806","FC",0,1,0.066,92.9,-0.18,0.71
"1807","SL",0,1,NA,83,-0.3,0.35
"1808","SL",1,1,NA,79.3,1.1,0.33
"1809","SL",1,1,NA,86,0.23,-0.02
"1810","SL",0,0,NA,85,0.52,0.07
"1811","SL",0,1,0.085,85.1,-0.12,0.37
"1812","KC",0,0,NA,80.3,0.21,-0.45
"1813","SL",0,1,NA,84.9,0.58,0.31
"1814","FC",1,1,NA,91,-0.04,1.05
"1815","SL",0,0,NA,84.7,0.29,-0.19
"1816","CU",0,1,NA,80.7,1.02,0.15
"1817","CU",0,0,NA,84.5,1.36,-0.84
"1818","FC",0,0,NA,89.6,-0.16,1.18
"1819","SL",0,1,1.325,85.6,1.1,-0.35
"1820","CU",0,1,NA,83.1,0.77,-0.95
"1821","SL",1,1,NA,84.9,1.24,-0.23
"1822","SL",0,1,NA,84.9,0.53,0.34
"1823","CU",0,0,NA,83.5,1.55,-0.65
"1824","FC",1,1,NA,90.5,0.08,0.74
"1825","SL",0,1,0.455,85.4,0.43,0.27
"1826","SL",0,0,NA,85.5,0.06,0.06
"1827","FC",0,0,NA,91.2,-0.24,1.24
"1828","SL",0,0,NA,84.6,-0.14,0.43
"1829","SL",1,1,NA,84.4,0.98,-0.3
"1830","CU",0,0,NA,83.9,1.67,-0.38
"1831","KC",0,1,0.514,78.7,0.2,-0.38
"1832","SL",0,0,NA,86.3,0.98,-0.25
"1833","SL",0,1,0.433,85,-0.15,0.2
"1834","SL",0,0,NA,85.5,0.35,0.51
"1835","FC",0,1,0.027,88.2,0.36,0.52
"1836","SL",0,0,NA,84,0.1,0.5
"1837","SL",0,0,NA,84.8,-0.05,0.18
"1838","SL",0,0,NA,85.2,0.19,0.13
"1839","FC",0,0,NA,88.9,0.08,0.52
"1840","FC",0,1,0.108,93.7,0.01,0.74
"1841","SL",0,1,0.404,86.6,0.01,0.11
"1842","CU",0,1,0.158,79.5,0.19,-1.48
"1843","SL",1,1,NA,87.1,0.1,0.51
"1844","FC",0,0,NA,86.8,0.62,0.68
"1845","SL",0,0,NA,85.5,-0.01,0.36
"1846","SL",0,0,NA,86.5,0.15,0.64
"1847","SL",0,1,NA,87.6,0.54,0.36
"1848","FC",0,1,NA,92.5,0.06,0.68
"1849","CU",0,0,NA,80.9,0.29,-1.3
"1850","SL",0,0,NA,86.3,0.16,-0.05
"1851","FC",1,1,NA,90,-0.26,1.41
"1852","SL",0,0,NA,83.7,0.95,-0.08
"1853","SL",0,0,NA,78.9,1.01,0.16
"1854","KC",0,0,NA,81.3,0.05,-0.6
"1855","SL",0,0,NA,86,0.64,0.32
"1856","SL",1,1,NA,83.8,0.97,-0.45
"1857","SL",0,1,0.021,86.4,-0.07,0.58
"1858","SL",0,0,NA,84.4,0.7,-0.13
"1859","SL",0,0,NA,82.7,0.8,-0.02
"1860","SL",0,0,NA,86.4,-0.11,0.72
"1861","SL",1,1,NA,85.7,0.12,0.14
"1862","FC",0,0,NA,87.7,0.23,0.17
"1863","FC",0,0,NA,91.5,-0.11,1.38
"1864","FC",0,0,NA,87.4,0.19,0.21
"1865","SL",1,1,NA,81.3,0.32,0.63
"1866","CU",0,1,NA,75.5,1.08,-0.96
"1867","SL",0,0,NA,86.6,0.43,0.08
"1868","FC",0,0,NA,87.5,0.19,0.45
"1869","FC",0,1,0.517,86.8,0.68,0.7
"1870","SL",1,1,NA,87.7,0.11,0.15
"1871","SL",0,0,NA,85.1,-0.07,0.82
"1872","SL",0,0,NA,83.2,1.09,-0.38
"1873","SL",0,1,0.049,86.2,0.35,0.28
"1874","FC",0,1,NA,89.4,0.09,0.93
"1875","SL",1,1,NA,86.9,0.6,-0.29
"1876","FC",0,1,0,89.2,0.34,0.25
"1877","SL",0,0,NA,82.4,1,0.36
"1878","SL",0,1,NA,85.9,0.43,0.41
"1879","FC",1,1,NA,90,0.41,0.18
"1880","FC",0,0,NA,90.4,-0.22,1.06
"1881","FC",1,1,NA,89.7,0.37,0.41
"1882","SL",0,0,NA,85.9,0.44,0.04
"1883","CU",0,1,0.882,82.8,0.73,-0.96
"1884","FC",0,1,0.006,86.5,0.86,0.38
"1885","KC",0,1,0.531,84,-0.12,0.14
"1886","FC",0,0,NA,88.1,0.36,0.66
"1887","CU",0,0,NA,81.5,1.27,-0.11
"1888","SL",0,1,0.018,85.9,-0.03,0.42
"1889","SL",1,1,NA,84.9,0.35,0.07
"1890","FC",1,1,NA,87.3,0.78,0.55
"1891","CU",0,0,NA,82.3,0.61,-0.75
"1892","FC",1,1,NA,89.8,0.45,0.31
"1893","FC",0,1,0.31,92.6,0.13,0.8
"1894","SL",0,1,0,87.1,0.02,0.31
"1895","SL",0,0,NA,84.3,1.25,-0.32
"1896","SL",0,1,0.578,86.4,0.23,-0.11
"1897","CU",0,0,NA,83.2,0.91,-1.12
"1898","FC",0,0,NA,88.9,0.03,1.34
"1899","SL",0,0,NA,85,1.05,-0.13
"1900","KC",0,0,NA,79.8,0.21,-0.48
"1901","SL",0,1,NA,85.5,0.42,0.28
"1902","SL",1,1,NA,85.6,-0.08,0.38
"1903","SL",0,1,NA,87.4,-0.02,0.64
"1904","FC",0,0,NA,87.7,0.14,0.64
"1905","SL",0,0,NA,84,0.06,0.27
"1906","CU",0,0,NA,79.6,0.44,-0.59
"1907","FC",0,0,NA,88.6,0.26,0.26
"1908","SL",0,0,NA,83.2,0.88,0.03
"1909","CU",0,1,0.414,80.2,0.17,-1.48
"1910","SL",0,1,NA,85.4,0.03,0.18
"1911","FC",1,1,NA,91.2,-0.14,1.3
"1912","FC",0,0,NA,89.8,0.18,0.4
"1913","SL",0,0,NA,86.3,-0.27,0.35
"1914","SL",1,1,NA,79.3,0.94,0.31
"1915","SL",1,1,NA,84.4,1.29,-0.07
"1916","FC",0,1,0.494,91.6,-0.13,1.11
"1917","KC",0,0,NA,73.3,1.13,-0.95
"1918","SL",0,0,NA,87.1,-0.02,0.62
"1919","FC",0,0,NA,86.6,0.64,0.45
"1920","CU",0,1,NA,83,0.63,-1.2
"1921","SL",0,1,NA,84.6,-0.05,0.51
"1922","SL",0,0,NA,84,0.36,-0.04
"1923","FC",0,0,NA,85.9,0.66,0.46
"1924","CU",1,1,NA,82.1,0.81,-1.16
"1925","SL",0,0,NA,80.2,1.29,0.13
"1926","SL",0,0,NA,85.4,0.84,0.07
"1927","CU",0,1,0.786,83.5,0.8,-0.26
"1928","SL",0,1,0.824,81.6,1.13,0.36
"1929","CU",0,0,NA,82.7,0.74,-0.9
"1930","CU",0,0,NA,84.4,1.38,-1.04
"1931","SL",0,1,NA,84.9,0.33,0.63
"1932","SL",0,0,NA,85.8,0.38,0.16
"1933","SL",0,0,NA,83.3,0.28,0.13
"1934","SL",0,0,NA,86.8,0,0.31
"1935","SL",0,1,0.191,83.5,0.91,0
"1936","SL",0,1,NA,84.3,0.01,0.45
"1937","SL",0,0,NA,85.3,-0.18,0.4
"1938","CU",1,1,NA,85.2,1.61,-0.72
"1939","SL",0,1,0.009,86.6,0.52,0.12
"1940","FC",0,0,NA,87.1,0.63,0.6
"1941","SL",0,0,NA,82.6,1.62,0.05
"1942","CU",1,1,NA,84.7,0.79,-0.55
"1943","SL",0,1,NA,84.5,0.03,0.13
"1944","SL",0,0,NA,84.4,0.07,0.83
"1945","SL",0,0,NA,86.5,-0.2,0.44
"1946","SL",0,0,NA,87.3,0.17,-0.01
"1947","SL",1,1,NA,81.2,1.37,0.3
"1948","SL",0,0,NA,87,0.59,0.25
"1949","SL",0,0,NA,81.1,1.56,0.34
"1950","CU",0,1,0.006,86.2,0.08,-0.22
"1951","SL",0,0,NA,85.3,0.88,-0.12
"1952","CU",0,0,NA,84.3,0.81,-0.49
"1953","FC",0,0,NA,91.5,-0.17,1.06
"1954","SL",0,1,NA,81.9,1.6,0.33
"1955","FC",0,1,0.013,88.2,0.11,0.67
"1956","FC",0,0,NA,85.4,0.73,0.18
"1957","CU",0,0,NA,84.8,1.47,-0.57
"1958","CU",1,1,NA,82.4,0.75,-0.27
"1959","CU",0,1,NA,82.3,0.05,-1.45
"1960","KC",0,1,0.206,79.1,0.25,-0.72
"1961","CU",0,0,NA,82.8,0.85,-0.08
"1962","CU",0,0,NA,83,0.96,-0.27
"1963","CU",1,1,NA,80.3,0.64,-0.68
"1964","SL",0,1,0.919,85.9,0.83,0.64
"1965","CU",0,0,NA,86.3,0.76,0.3
"1966","FC",0,1,NA,92.8,0.03,0.9
"1967","SL",1,1,NA,83.7,0.22,0.1
"1968","CU",1,1,NA,84.3,1.22,-0.45
"1969","SL",0,0,NA,86.1,0.44,0.64
"1970","SL",0,0,NA,78.4,1.09,0.26
"1971","KC",0,1,0.097,76.5,0.83,-1.01
"1972","SL",0,1,0.084,86.1,0.1,-0.04
"1973","CU",0,1,0.121,81.7,-0.12,-1.36
"1974","SL",0,0,NA,86,0.14,0.16
"1975","SL",0,0,NA,85.4,-0.05,0.23
"1976","SL",0,1,NA,85.5,0.91,0.53
"1977","FC",1,1,NA,87.9,0.13,0.54
"1978","SL",0,0,NA,81.5,1.54,0.07
"1979","CU",0,0,NA,83.2,1.05,-0.33
"1980","FC",1,1,NA,86.3,0.67,0.54
"1981","SL",0,0,NA,76.8,1.13,0.62
"1982","SL",0,1,NA,87.1,0.45,0.49
"1983","SL",0,1,0.244,87.8,0.48,-0.08
"1984","SL",0,1,0.544,85,-0.06,0.56
"1985","SL",0,0,NA,85.6,0.59,0.18
"1986","SL",0,0,NA,86.6,0.71,0.75
"1987","SL",0,0,NA,79.8,1.34,0.39
"1988","SL",0,0,NA,83.7,1.22,-0.1
"1989","FC",0,0,NA,83.7,0.58,-0.43
"1990","SL",0,0,NA,85.9,0.87,-0.38
"1991","FC",0,0,NA,91.8,-0.06,1.12
"1992","SL",0,1,0.152,77.2,1,0.51
"1993","SL",0,1,NA,80.6,0.97,-0.08
"1994","SL",0,1,NA,81.1,1.12,0.43
"1995","SL",0,0,NA,87.1,0.07,0.16
"1996","SL",0,0,NA,85.9,0.05,0.58
"1997","FC",0,0,NA,90,0.23,1.17
"1998","FC",1,1,NA,84,0.58,-0.27
"1999","CU",0,1,NA,83.9,0.98,-0.56
"2000","CU",0,1,0.054,73.5,1.75,-0.73
"2001","FC",0,0,NA,87.4,0.41,0.63
"2002","SL",0,0,NA,85.9,-0.18,0.59
"2003","FC",0,0,NA,87.6,0.4,0.83
"2004","CU",0,1,NA,83.8,0.33,-0.49
"2005","FC",0,0,NA,90.8,-0.19,1.36
"2006","SL",0,0,NA,88.3,1.01,-0.84
"2007","SL",0,1,NA,84.8,0.42,0.65
"2008","SL",0,0,NA,84.6,0.1,0.15
"2009","SL",0,1,NA,86.3,-0.17,0.38
"2010","FC",0,0,NA,88.6,0.41,0.43
"2011","CU",0,0,NA,83.4,1.06,-0.43
"2012","FC",0,0,NA,89.5,0.12,1.4
"2013","SL",0,1,0.027,87.9,0.22,0.04
"2014","SL",1,1,NA,86.6,0.61,0.2
"2015","CU",0,1,0.291,87,1.28,-0.33
"2016","CU",0,1,0.01,86.5,1.01,-0.22
"2017","SL",1,1,NA,86.2,-0.13,0.39
"2018","SL",0,0,NA,80.1,1.38,0.06
"2019","SL",0,0,NA,77.7,1.01,0.52
"2020","SL",1,1,NA,89.3,1.32,-0.64
"2021","SL",0,0,NA,87.8,0.57,0.32
"2022","FC",0,0,NA,87.4,0.12,0.21
"2023","FC",1,1,NA,91.3,-0.02,1.21
"2024","FC",0,1,0.455,83.4,0.88,-0.26
"2025","SL",0,1,0.24,86.6,0.35,0.29
"2026","SL",0,0,NA,86.2,0.16,-0.07
"2027","FC",0,0,NA,90,0.04,0.76
"2028","SL",0,0,NA,88.7,0.24,0.22
"2029","FC",0,1,0,98.7,0.36,0.92
"2030","CU",0,0,NA,86,-0.22,-0.55
"2031","SL",0,0,NA,86,0.31,0.08
"2032","CU",0,1,NA,84.4,1,-0.63
"2033","SL",0,0,NA,86.6,0.53,0.29
"2034","SL",0,0,NA,79,1.17,0.03
"2035","CU",0,0,NA,86.6,0.71,0.21
"2036","CU",0,0,NA,80.6,1.01,-0.43
"2037","CU",0,0,NA,74.3,1.51,-0.89
"2038","CU",0,1,0.551,81.1,0.74,-0.32
"2039","SL",0,1,0.021,83.9,0.04,0.07
"2040","SL",1,1,NA,90.6,1.02,-0.02
"2041","CU",0,0,NA,80.5,-0.08,-1.39
"2042","SL",0,1,0.013,83.9,0.05,0.3
"2043","SL",1,1,NA,85.9,0.84,-0.23
"2044","CU",0,0,NA,83.2,0.55,-0.97
"2045","SL",0,0,NA,83.8,0.32,0.18
"2046","FC",0,0,NA,88.2,0.7,0.52
"2047","SL",0,0,NA,88.4,1.14,-1.07
"2048","SL",1,1,NA,80.9,1.01,0.34
"2049","SL",1,1,NA,87.2,-0.26,0.61
"2050","FC",0,1,0.08,90,0.35,0.52
"2051","SL",0,1,0.115,77.2,0.85,0.77
"2052","FC",0,1,NA,98.8,0.43,1.16
"2053","SL",1,1,NA,80.3,1.27,0.15
"2054","FC",0,1,0.003,89.2,0.19,0.84
"2055","KC",0,0,NA,81.1,0.22,-0.81
"2056","CU",0,1,0.201,83.6,1.29,-0.44
"2057","SL",0,0,NA,81.7,1.4,0.34
"2058","SL",0,1,NA,76.7,1.07,0.37
"2059","FC",1,1,NA,86.6,0.74,0
"2060","SL",0,0,NA,85.2,0.81,0.23
"2061","SL",0,0,NA,88.9,0.2,0.25
"2062","SL",1,1,NA,82.8,0.45,0.09
"2063","FC",0,1,NA,83.4,0.34,-0.06
"2064","FC",0,0,NA,98.9,0.28,1.03
"2065","SL",0,0,NA,86.9,0.48,0.13
"2066","SL",0,1,0.584,87,0.66,-0.01
"2067","SL",0,1,NA,86.8,-0.21,0.14
"2068","SL",0,1,NA,88.9,0.88,-0.48
"2069","CU",0,0,NA,81.9,0.63,-0.9
"2070","CU",0,0,NA,80.6,1.25,0.14
"2071","SL",1,1,NA,84.8,0.91,0.08
"2072","CU",0,0,NA,80.4,0.64,-0.84
"2073","FC",0,0,NA,89.1,-0.31,0.71
"2074","FC",1,1,NA,98.6,0.24,1.1
"2075","SL",0,0,NA,86.8,0.49,-0.21
"2076","SL",1,1,NA,80.3,1.59,0.27
"2077","CU",1,1,NA,74.3,1.75,-0.76
"2078","SL",0,1,0.045,87.1,0.52,0.27
"2079","CU",0,1,0.28,87.3,0.55,0.57
"2080","SL",0,0,NA,86.1,0.12,0.28
"2081","SL",0,0,NA,89.9,0.57,-0.19
"2082","CU",0,0,NA,86.4,1.44,-0.49
"2083","CU",1,1,NA,85.4,0.14,-0.15
"2084","CU",0,0,NA,72.7,1.56,-0.96
"2085","SL",1,1,NA,89.6,0.92,-0.39
"2086","CU",0,1,NA,83.9,1.24,-0.07
"2087","SL",0,1,NA,86,-0.21,0.24
"2088","SL",0,0,NA,87,-0.11,0.07
"2089","CU",1,1,NA,87.3,0.53,0.3
"2090","FC",1,1,NA,99.1,0.48,1.03
"2091","FC",0,0,NA,87.8,0,0.66
"2092","FC",0,1,0.112,87.3,0.75,0.24
"2093","FC",1,1,NA,89.4,0.1,1.3
"2094","SL",0,1,0.904,85.3,0.65,0.08
"2095","SL",1,1,NA,81.5,0.2,-0.16
"2096","SL",0,0,NA,87.3,-0.26,0.43
"2097","SL",0,0,NA,85,0.55,0
"2098","SL",1,1,NA,89.1,0.65,-0.23
"2099","SL",0,1,0.391,84.8,0.65,-0.15
"2100","SL",0,0,NA,87.3,-0.32,0.25
"2101","FC",0,0,NA,88,0.63,0.69
"2102","SL",0,1,NA,78.4,0.46,0.92
"2103","CU",1,1,NA,83.3,1.21,-0.22
"2104","FC",1,1,NA,99.1,0.41,1.01
"2105","CU",0,1,NA,72.2,1.61,-1
"2106","SL",0,0,NA,88.7,0.05,0.16
"2107","FC",0,1,0.206,87.9,0.27,0.12
"2108","SL",0,0,NA,78.1,-0.1,-0.54
"2109","FC",0,0,NA,99.4,0.24,0.97
"2110","FC",0,0,NA,87.4,0.25,0.37
"2111","SL",0,1,0.005,80,1.24,0.26
"2112","SL",1,1,NA,89.5,0.22,0.14
"2113","SL",0,1,NA,85.1,0.29,-0.33
"2114","FC",0,0,NA,86.9,-0.38,0.45
"2115","FC",0,1,0.968,90.9,-0.36,1.26
"2116","FC",0,0,NA,89.3,0.24,1.24
"2117","SL",0,0,NA,85.6,0.69,-0.04
"2118","FC",1,1,NA,89.5,-0.28,0.33
"2119","SL",0,1,0.042,85.5,1.01,0.12
"2120","FC",0,0,NA,88.8,0.12,1.15
"2121","SL",0,0,NA,83.9,0.21,0.14
"2122","FC",1,1,NA,88.8,0.73,0.51
"2123","FC",0,0,NA,98.4,0.15,0.98
"2124","FC",0,0,NA,90.6,0.19,1.25
"2125","SL",0,1,0.478,86.5,1.03,-0.53
"2126","SL",0,1,0.839,78.3,0.89,0.34
"2127","SL",0,1,NA,87.7,0.47,0.27
"2128","SL",1,1,NA,83.9,0.85,-0.39
"2129","SL",0,0,NA,88.9,0.28,0.55
"2130","SL",0,1,0.818,81.8,1.05,0.11
"2131","SL",0,1,0.676,86.1,0.3,-0.32
"2132","SL",0,0,NA,86.9,0.35,-0.17
"2133","CU",0,0,NA,81.4,0.75,-0.1
"2134","SL",0,1,NA,87.1,-0.29,0.58
"2135","SL",0,0,NA,85.1,0.16,0.21
"2136","SL",0,1,NA,83.2,0.95,0.05
"2137","CU",0,0,NA,82.8,1.25,-0.1
"2138","SL",0,1,NA,85.7,0.77,0.46
"2139","FC",0,0,NA,98,0.54,0.82
"2140","SL",0,0,NA,85,0.63,0.07
"2141","SL",0,0,NA,83.1,0.22,0.18
"2142","FC",0,0,NA,86.6,-0.68,0.37
"2143","CU",0,0,NA,71.6,1.64,-0.64
"2144","CU",0,0,NA,83.1,0.02,-0.02
"2145","SL",0,0,NA,87.7,0.39,-0.26
"2146","SL",0,0,NA,84.5,0.4,-0.32
"2147","CU",0,0,NA,81.3,1.24,-0.3
"2148","FC",0,0,NA,90.8,0.09,1.47
"2149","FC",0,0,NA,87.9,0.65,0.45
"2150","FC",0,0,NA,90,-0.04,1.28
"2151","SL",0,0,NA,88.5,0.32,0.32
"2152","SL",0,0,NA,84.5,0.71,0.05
"2153","SL",0,0,NA,78,1.09,0.83
"2154","FC",0,0,NA,97.9,0.21,0.93
"2155","CU",1,1,NA,79.7,1.57,0.03
"2156","CU",1,1,NA,79.3,1.4,0.13
"2157","CU",1,1,NA,79.2,1.43,-0.5
"2158","CU",0,0,NA,76.9,1.83,-0.09
"2159","CU",0,0,NA,80,1.27,0.32
"2160","CU",0,1,0.139,78.3,1.64,0.01
"2161","SL",1,1,NA,84.7,0.02,-0.11
"2162","KC",1,1,NA,73.5,1.07,-0.36
"2163","CU",0,0,NA,76.9,1.23,0.06
"2164","CU",0,0,NA,77.8,1.3,-0.25
"2165","CU",0,0,NA,79.5,0.41,-1.25
"2166","SL",0,0,NA,88.6,0.42,-0.08
"2167","SL",1,1,NA,84.9,0.05,-0.33
"2168","SL",0,0,NA,91.3,0.24,0.68
"2169","SL",0,1,0.522,81.8,0.36,-0.42
"2170","SL",0,0,NA,82.8,0.65,0.17
"2171","KC",1,1,NA,73.3,1.09,-0.74
"2172","SL",0,0,NA,83.2,0.35,-0.62
"2173","SL",1,1,NA,82.9,0.41,-0.7
"2174","CU",0,1,NA,84.5,0.24,-0.62
"2175","SL",0,0,NA,83.9,0.23,-0.4
"2176","CU",1,1,NA,76.9,1.68,-0.34
"2177","SL",0,1,0.059,80.2,0.74,0.02
"2178","SL",0,1,NA,83.1,-0.16,-0.14
"2179","SL",0,1,NA,79.6,0.61,0.19
"2180","SL",0,0,NA,91,0.29,0.69
"2181","SL",1,1,NA,82.6,0.27,-0.35
"2182","SL",0,1,0.111,84.7,0.69,-0.04
"2183","SL",0,1,NA,83.6,0.35,0.1
"2184","SL",1,1,NA,81.8,0.27,-0.37
"2185","CU",1,1,NA,79.3,1.59,0.08
"2186","SL",1,1,NA,86.5,0.44,0.18
"2187","SL",1,1,NA,84.9,0.61,-0.05
"2188","CU",0,0,NA,78.1,0.23,-1.57
"2189","CU",1,1,NA,85,0.78,-1
"2190","CU",0,0,NA,79.5,0.98,0.2
"2191","CU",0,0,NA,80.2,0.64,-1.32
"2192","CU",1,1,NA,81.1,0.85,-1.11
"2193","CU",0,0,NA,83.7,1.16,-0.75
"2194","CU",0,0,NA,77.6,0.66,-1.02
"2195","CU",0,0,NA,71.2,1.51,-1.07
"2196","FC",0,0,NA,85.6,0.22,0.69
"2197","FC",0,1,NA,89.5,-0.57,1.12
"2198","CU",0,0,NA,78.5,0.75,-1.64
"2199","SL",0,0,NA,82.4,0.26,-0.32
"2200","SL",0,0,NA,88.7,0.16,0.54
"2201","SL",0,0,NA,90.6,0.21,0.75
"2202","CU",0,0,NA,77.7,1.61,0.37
"2203","SL",0,1,NA,82,1.47,0.27
"2204","CU",0,1,NA,71.3,1.3,-1.07
"2205","FC",0,1,NA,89.3,-0.43,0.96
"2206","SL",0,0,NA,91.1,0.32,0.44
"2207","CU",1,1,NA,79.5,1.24,0.32
"2208","SL",0,1,0.436,80.3,0.93,-0.1
"2209","FC",0,1,NA,85.1,0.15,0.64
"2210","SL",1,1,NA,80.6,-0.18,0.5
"2211","SL",0,1,0.921,80.4,0.35,-0.58
"2212","SL",0,0,NA,84.1,0.21,0.76
"2213","CU",0,0,NA,79.5,1.09,-1.29
"2214","SL",0,0,NA,83,1.74,-0.07
"2215","SL",0,0,NA,91.1,0.36,0.45
"2216","SL",0,1,NA,78,0.78,-0.16
"2217","CU",0,0,NA,70.9,1.43,-1.08
"2218","SV",0,1,0.558,81.7,0.94,-0.42
"2219","SL",0,0,NA,90.2,0.47,0.49
"2220","SL",0,0,NA,82.2,1.65,0.1
"2221","SL",0,1,NA,88.7,0.27,0.63
"2222","FC",0,1,0.246,86.8,0.15,0.71
"2223","SL",0,1,0.702,81.5,0.29,-0.38
"2224","CU",0,0,NA,80.3,1.08,0.33
"2225","CU",0,1,NA,71.8,1.31,-1.18
"2226","CU",0,0,NA,80.5,0.1,-0.48
"2227","FC",0,1,NA,84.8,0.4,0.71
"2228","SL",0,0,NA,82.8,1.24,0.23
"2229","CU",1,1,NA,78.2,1.36,0.13
"2230","CU",0,0,NA,76.9,0.94,-1.21
"2231","FC",1,1,NA,86.3,0.39,0.69
"2232","FC",0,1,0.003,87.5,-0.22,1.06
"2233","FC",0,0,NA,85.8,0.24,0.66
"2234","CU",0,0,NA,82.4,0.04,-0.87
"2235","SV",0,0,NA,81.4,0.78,-0.67
"2236","SL",0,0,NA,84.6,0.1,0.35
"2237","CU",0,0,NA,70.5,1.28,-1.28
"2238","SL",0,1,0.419,83.6,0.07,-0.19
"2239","CU",0,0,NA,73.8,0.8,-1.13
"2240","FC",0,1,NA,85.2,0.25,0.82
"2241","SL",0,0,NA,87,0.54,0.24
"2242","SL",0,0,NA,88.2,-0.15,0.04
"2243","FC",0,1,0.808,88.9,0.02,0.99
"2244","CU",0,1,NA,77,0.96,-1.37
"2245","FC",0,1,NA,85.7,0.35,0.58
"2246","FC",0,1,0.133,90.9,0.18,0.7
"2247","SL",0,1,0.2,80.8,0.57,0.34
"2248","CU",0,1,NA,84.6,0.92,-0.58
"2249","SL",0,0,NA,81.4,0.18,-0.28
"2250","SL",0,1,0.287,83,0.09,-0.13
"2251","CU",0,0,NA,77.1,1.06,-1.4
"2252","FC",0,1,1.627,91.5,0.33,0.45
"2253","SL",0,0,NA,79.6,0.19,-0.12
"2254","SL",0,0,NA,83.5,1.12,0.39
"2255","SL",1,1,NA,90.7,0.14,0.46
